Bhardrolda Orcgranite
Daregresli Deepblade
Foznuinelyn Dimbane
Tharribo Lightfall
Herdaestr Keghand
Tukkebela Brightbuckle
Nurarferra Minebrewer
Lunwouhilda Dimview
Rulgina Bristlearm
Gamweagret Deepriver
Durikdrugith Alemaster
Gazzoutryd Noblegrip
Aravistr Warmfall
Houngrobela Ingotbow
Sirfeline Redhide
Bosgrere Barbedflayer
Gofroungrid Battleborn
Toreseadrid Kegbuckle
Brostrasli Smeltbelt
Kazealynn Flintmail
Salulyn Caskchin
Skothingrid Oakchest
Nuranwearen Flaskview
Fondraela Duskfoot
Dergretelin Alehand
Thratounelynn Goldenforged
Thrandubelle Mudborn
Whumdudrid Deepbane
Brasoungrid Orcbraids
Sisogit Sapphirebrow
Nutmudrid Bronzebuckle
Brograegret Boulderbrand
Barizmaebelle Silverbender
Thummealynn Mountainchest
Yasdrerika Caskmace
Thammala Treasurespine
Aroserd Graydelver
Bozmiserd Grumblemaul
Saraedeth Flintgrog
Kangraegret Coalback
Vommebo Goldencloak
Brourdilda Snowbasher
Grotmithra Hillmace
Bekhairgit Cavebow
Dhommohilda Fierybuckle
Douzmeala Brewbelt
Hanwaerika Grumbleheart
Grarahilda Koboldminer
Udgrawynn Grimforge
Krordreagrett Barbedriver
