Dofreath Goldenguard
Duzzaed Lavaspine
Nulmorlum Orcbasher
Kirholi Snowarmour
Turdolin Barrelminer
Bruzzoick Marblebasher
Findut Hillriver
Wetdrael Dragonpike
Alfokhud Berylbrand
Krokkus Stormminer
Eritratir Bristlefinger
Narmin Platebender
Strolek Oredelver
Donmag Drakesunder
Lormarlun Bronzechin
Dhukhoick Snowshoulder
Husgraec Dragonbow
Dorargour Drakegut
Lurbeas Bittercloak
Dhozzir Silverbraid
Whustrid Ironback
Snammatin Oakdelver
Turnok Shatterforged
Thazmorlum Blessedbreaker
Khungreth Bristlemaker
Fosgronlir Opalbranch
Baritdrean Metalgrip
Broukhumlir Oakbow
Nondraeck Hammerbreaker
Gibruc Deephide
Foghotum Greatbuster
Glarfith Largeview
Thraghun Undermaker
Vazmout Orcbringer
Manmolim Greatshoulder
Lumeam Lavagrip
Hotdroul Windfall
Thradgrat Kragview
Fondroir Dimarm
Jassic Fieryarmour
Dumrick Barbedhide
Amnatin Lighttank
Umiteat Dimmaul
Khouzak Chaosstone
Thrognaek Strongsword
Hezneat Leathershaper
Thabram Shadowmaker
Lotgroug Flaskbraids
Kusgrael Wyvernbreaker
Duribot Orebranch
