Rhimrosi Gennezen
Isuhe Radagrus
Faggess Bhigna
Ivurn Reselda
Eboha Shusildrit
Ravur Sondrael
Garnak Cresorec
Comuno Casadi
Gaknapu Edrul
Rhovro Geirlo
Dhacinzo Kridrie
Henzoru Garzasod
Qheropi Derzaedir
Emacsa Shrelnoda
Nouri Ierlun
Brilass Khaemiasrae
Unone Deevraga
Thulfirth Shagurdrial
Rinshebi Riamesh
Chadulla Bhaenvriet
Nardual Roxina
Filvendor Petdove
Vulmon Kriszana
Itham Omakalyn
Tarathiel Olalynn
Maradeim Patris
Samblar Biphine
Aquilan Eldi
Garynnon Lorabanise
Orist Dorven
Rennyn Oriberos
Ayre Lucyne
Nevarth Roceran
Ruvaen Carcaryn
Saleh Holanala
Pharom Keamaer
Hagmar Ulatoris
Volodar Bifiel
Wistari Ravaven
Ninthalor Yesfaren
Wyparin Olaroris
Wilfarin Sarnelis
Balrion Iansandoral
Clertharal Zinbella
Mictien Erfaren
Xavlen Omalana
Wyred Trisro
Ingellan Percaryn
Jenparin Yllamenor
Rogrynn Orizana
Hukoris Dastina
Simnalor Dakas
Terdil Vasandoral
Edynor Petpetor
Xanendyl Davalur
Micsin Liasys
Micduin Xyrnelis
Henhomin Waesharice
Tedlar Wranlynn
Lanmer Zylroris

